,title,date,album,lyrics
24,Happiness is a Warm Gun,"November 22, 1968",The Beatles (The White Album),"

[Verse 1: John Lennon with Paul McCartney]
She's not a girl who misses much
Do do do do do do, oh yeah
She's well-acquainted with the touch of the velvet hand
Like a lizard on a window pane
The man in the crowd with the multicoloured mirrors
On his hobnail boots
Lying with his eyes while his hands are busy
Working overtime
A soap impression of his wife which he ate
And donated to the National Trust

[Verse 2: John Lennon]
(...down)
I need a fix 'cause I'm going down
Down to the bits that I left uptown
I need a fix 'cause I'm going down

[Verse 3: John Lennon with Paul McCartney]
Mother Superior jumped the gun
Mother Superior jumped the gun
Mother Superior jumped the gun
Mother Superior jumped the gun
Mother Superior jumped the gun
Mother Superior jumped the gun

[Chorus]
Happiness is a warm gun (Bang, bang, shoot, shoot)
Happiness is a warm gun, momma (Bang, bang, shoot, shoot)

When I hold you in my arms (Ooh, oh, yeah)
And I feel my finger on your trigger (Ooh, oh, yeah)
I know nobody can do me no harm (Ooh, oh, yeah)
Because

(Happiness) Is a warm gun, momma (Bang, bang, shoot, shoot)
Happiness is a warm gun, yes it is (Bang, bang, shoot, shoot)
Happiness is a warm, yes it is, gun (Bang, bang, shoot, shoot)
Well, don't you know that happiness is a warm gun, momma?
(Is a warm gun, yeah)

"
25,Back in the U.S.S.R.,"November 22, 1968",The Beatles (The White Album),"

[Verse 1]
Flew in from Miami Beach BOAC
Didn't get to bed last night
On the way, the paper bag was on my knee
Man, I had a dreadful flight

[Chorus]
I'm back in the U.S.S.R.​
You don't know how lucky you are, boy
Back in the U.S.S.R. (Yeah)

[Verse 2]
Been away so long, I hardly knew the place
Gee, it's good to be back home
Leave it til' tomorrow to unpack my case
Honey, disconnect the phone

[Chorus]
I'm back in the U.S.S.R
You don't know how lucky you are, boy
Back in the U.S
Back in the U.S
Back in the U.S.S.R.​

[Bridge]
Well, the Ukraine girls really knock me out
They leave the West behind
And Moscow girls make me sing and shout
That Georgia's always on my mi-mi-mi-mi-mi-mi-mi-mi-mind
Oh, come on!

[Guitar Solo]

[Chorus]
Yeah, I'm back in the U.S.S.R.​
You don't know how lucky you are, boys
Back in the U.S.S.R.​

[Bridge]
Well, the Ukraine girls really knock me out
They leave the West behind
And Moscow girls make me sing and shout
That Georgia's always on my mi-mi-mi-mi-mi-mi-mi-mi-mind

[Verse 3]
Oh show me round your snow-peaked mountains way down south
Take me to your daddy's farm
Let me hear your balalaikas ringing out
Come and keep your comrade warm

[Chorus]
I'm back in the U.S.S.R. (Hey)
You don't know how lucky you are, boys
Back in the U.S.S.R

[Outro]
Oh, let me tell you, honey
Hey, I'm back, I'm back in the U.S.S.R.​
Hey, it's so good to be home
Yeah, back in the U.S.S.R.​

"
26,Oh! Darling,"September 26, 1969",Abbey Road,"

[Verse 1]
Oh! Darling, please believe me
I'll never do you no harm
Believe me when I tell you
I'll never do you no harm

[Verse 2]
Oh! Darling, if you leave me
I'll never make it alone
Believe me when I beg you (Wooo!)
Don't ever leave me alone

[Bridge]
When you told me, you didn't need me anymore
Well, you know I nearly broke down and cried
When you told me, that you didn't need me anymore
Well, you know I nearly fell down and died

[Verse 3]
Oh! Darling, if you leave me
I'll never make it alone
Believe me when I tell you
I'll never do you no harm
(Believe me, darling!)

[Bridge]
When you told me (Woo!) you didn't need me anymore
Well, you know I nearly broke down and cried
When you told me you didn't need me anymore
Well, you know I nearly fell down and died

[Verse 4]
Oh! Darling, please believe me
I'll never let you down
(Oh! Believe me, darling)
Believe me when I tell you
I'll never do you no harm

"
27,Golden Slumbers,"September 26, 1969",Abbey Road,"

[Verse 1]
Once there was a way to get back homeward
Once there was a way to get back home
Sleep pretty darling, do not cry
And I will sing a lullaby

[Chorus]
Golden slumbers fill your eyes
Smiles await you when you rise
Sleep pretty darling, do not cry
And I will sing a lullaby

[Verse 2]
Once there was a way to get back homeward
Once there was a way to get back home
Sleep pretty darling, do not cry

[Outro]
And I will sing a lullaby

"
28,Sgt. Pepper’s Lonely Hearts Club Band,"May 26, 1967",Sgt. Pepper’s Lonely Hearts Club Band,"

[Verse 1: Paul McCartney]
It was twenty years ago today
When Sgt. Pepper taught the band to play
They've been going in and out of style
But they're guaranteed to raise a smile
So may I introduce to you
The act you've known for all these years
Sgt. Pepper's Lonely Hearts Club Band

[Chorus: Paul McCartney, John Lennon, George Harrison, & Ringo Starr]
We're Sgt. Pepper's Lonely Hearts Club Band
We hope you will enjoy the show
Sgt. Pepper's Lonely Hearts Club Band
Sit back and let the evening go
Sgt. Pepper's Lonely, Sgt. Pepper's Lonely
Sgt. Pepper's Lonely Hearts Club Band

[Bridge: Paul McCartney, John Lennon, & George Harrison]
It's wonderful to be here
It's certainly a thrill
You're such a lovely audience
We'd like to take you home with us
We'd love to take you home

[Verse 2: Paul McCartney]
I don't really want to stop the show
But I thought you might like to know
That the singer's going to sing a song
And he wants you all to sing along
So let me introduce to you
The one and only Billy Shears
And Sgt. Pepper's Lonely Hearts Club Band

"
29,Maxwell’s Silver Hammer,"September 26, 1969",Abbey Road,"

[Verse 1]
Joan was quizzical
Studied pataphysical science in the home
Late nights all alone with a test tube, oh, oh, oh, oh
Maxwell Edison, majoring in medicine
Calls her on the phone
""Can I take you out to the pictures, Joa-oa-oa-oan?""
But as she's getting ready to go
A knock comes on the door

[Chorus]
Bang! Bang! Maxwell's silver hammer
Came down upon her head
Clang! Clang! Maxwell's silver hammer
Made sure that she was dead

[Verse 2]
Back in school again
Maxwell plays the fool again
Teacher gets annoyed
Wishing to avoid an unpleasant sce-e-e-ene
She tells Max to stay
When the class has gone away
So he waits behind
Writing 50 times ""I must not be so, o, o, o""
But when she turns her back on the boy
He creeps up from behind

[Chorus]
Bang! Bang! Maxwell's silver hammer
Came down upon her head
(Do-do-do-do)
Clang! Clang! Maxwell's silver hammer
Made sure that she was dead
(Do-do-do-do)

[Verse 3]
P. C. 31 said, ""We caught a dirty one,""
Maxwell stands alone
Painting testimonial pictures, oh, oh, oh, oh
Rose and Valerie
Screaming from the gallery, say he must go free
(Maxwell must go free)
The judge does not agree and he tells them so-o-o-o
But as the words are leaving his lips
A noise comes from behind

[Chorus]
Bang! Bang! Maxwell's silver hammer
Came down upon his head
(Do-do-do-do-do)
Clang! Clang! Maxwell's silver hammer
Made sure that he was dead

[Outro]
Whoa, whoa, whoa-oa
(Do-do-do-do-do)
(Silver hammer man)

"
30,Helter Skelter,"November 22, 1968",The Beatles (The White Album),"

[Intro]
When I get to the bottom, I go back to the top of the slide
Where I stop, and I turn, and I go for a ride
'Til I get to the bottom, and I see you again!
Yeah, yeah, yeah!

[Verse 1]
Well, do you, don't you want me to love you?
I'm coming down fast, but I'm miles above you
Tell me, tell me, tell me, come on, tell me the answer!
Well, you may be a lover, but you ain't no dancer

[Chorus]
Now, Helter skelter
Helter skelter
Helter skelter
Yeah
Woo!

[Verse 2]
Oh, will you, won't you want me to make you?
I'm coming down fast, but don't let me break you
Tell me, tell me, tell me the answer!
You may be a lover, but you ain't no dancer

[Chorus]
Look out!
Helter skelter
Helter skelter
Helter skelter
Ooh!

[Bridge]
Look out!
'Cause here she comes

[Intro]
When I get to the bottom, I go back to the top of the slide
And I stop, and I turn, and I go for a ride
And I get to the bottom, and I see you again!
Yeah, yeah, yeah!

[Verse 3]
Well, do you, don't you want me to make you?
I'm coming down fast, but don't let me break you
Tell me, tell me, tell me your answer!
You may be a lover, but you ain't no dancer

[Chorus]
Look out!
Helter skelter
Helter skelter
Helter skelter

[Outro]
Well look out! Helter skelter!
She's coming down fast!
Yes, she is!
Yes, she is
Coming down fast
Oh, yeah, Helter Skelter
Wooh!

[Breakdown]

[Spoken: Ringo Starr]
I got blisters on my fingers!

"
31,All You Need Is Love,"July 7, 1967",Magical Mystery Tour (US),"

[Intro]
Love, love, love
Love, love, love
Love, love, love

[Verse 1]
There's nothing you can do that can't be done
Nothing you can sing that can't be sung
Nothing you can say, but you can learn how to play the game
It's easy

[Verse 2]
Nothing you can make that can't be made
No one you can save that can't be saved
Nothing you can do, but you can learn how to be you in time
It's easy

[Chorus]
All you need is love
All you need is love
All you need is love, love
Love is all you need

Love, love, love
Love, love, love
Love, love, love

[Chorus]
All you need is love
All you need is love
All you need is love, love
Love is all you need

[Verse 3]
There's nothing you can know that isn't known
Nothing you can see that isn't shown
There's nowhere you can be that isn't where you're meant to be
It's easy

[Chorus]
All you need is love
All you need is love
All you need is love, love
Love is all you need

[Outro]
All you need is love (All together now)
All you need is love (Everybody)
All you need is love, love
Love is all you need
(Yesterday)
(Oh yeah)
(She loves you, yeah, yeah, yeah)
(She loves you, yeah, yeah, yeah)
(Oh, yesterday)

"
32,Penny Lane,"February 13, 1967",Magical Mystery Tour (US),"

[Verse 1: Paul McCartney]
In Penny Lane there is a barber showing photographs
Of every head he's had the pleasure to know
And all the people that come and go
Stop and say hello

[Verse 2: Paul McCartney]
On the corner is a banker with a motorcar
The little children laugh at him behind his back
And the banker never wears a mac
In the pouring rain
Very strange

[Chorus 1: Paul McCartney with John Lennon & George Harrison]
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
I sit and meanwhile back

[Verse 3: Paul McCartney]
In Penny Lane there is a fireman with an hourglass
And in his pocket is a portrait of the Queen
He likes to keep his fire engine clean
It's a clean machine

[Piccolo trumpet solo]

[Chorus 2: Paul McCartney with John Lennon & George Harrison]
Penny Lane is in my ears and in my eyes
Four of fish and finger pies
In summer, meanwhile back

[Verse 4: Paul McCartney]
Behind the shelter in the middle of a roundabout
A pretty nurse is selling poppies from a tray
And though she feels as if she's in a play
She is anyway

[Verse 5: Paul McCartney]
In Penny Lane the barber shaves another customer
We see the banker sitting, waiting for a trim
And then the fireman rushes in
From the pouring rain
Very strange

[Chorus 1: Paul McCartney with John Lennon & George Harrison]
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
I sit, and meanwhile back

[Chorus 2: Paul McCartney with John Lennon & George Harrison]
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
Penny Lane

"
33,Rocky Raccoon,"November 22, 1968",The Beatles (The White Album),"

[Verse 1]
Now somewhere in the black mining hills of Dakota
There lived a young boy named Rocky Raccoon
And one day his woman ran off with another guy
Hit young Rocky in the eye
Rocky didn't like that
He said, ""I'm gonna get that boy""
So one day he walked into town
Booked himself a room in the local saloon

[Chorus]
And Rocky Raccoon checked into his room
Only to find Gideon's bible
But Rocky had come equipped with a gun
To shoot off the legs of his rival

[Verse 2]
His rival it seems had broken his dreams
By stealing the girl of his fancy
Her name was Magill, and she called herself Lil
But everyone knew her as Nancy
Now, she and her man, who called himself Dan
Were in the next room at the hoe-down
And Rocky burst in, and grinning a grin
He said, ""Danny boy, this is a showdown""
But Daniel was hot, he drew first and shot
And Rocky collapsed in the corner

[Instrumental bridge]

[Verse 3]
Now the doctor came in stinking of gin
And proceeded to lie on the table
He said, ""Rocky, you met your match""
And Rocky said, ""Doc, it's only a scratch
And I'll be better, I'll be better, Doc, as soon as I am able""

[Chorus]
And now Rocky Raccoon, he fell back in his room
Only to find Gideon's bible
Gideon checked out, and he left it no doubt
To help with good Rocky's revival

[Outro]
C'mon, Rocky boy
C'mon, Rocky boy

"
34,The End,"September 26, 1969",Abbey Road,"

[Verse 1]
Oh yeah, alright
Are you going to be in my dreams
Tonight?

[Drum and Guitar Solos]

[Instrumental break 0:20-1:32]
Love you, love you
Love you, love you
Love you, love you
Love you, love you
Love you, love you
Love you, love you
Love you, love you
Love you, love you
Love you, love you
Love you, love you
Love you, love you
Love you, love you
Love

[Verse 2]
And in the end
The love you take
Is equal to the love you make

[Instrumental outro 1:49-2:22]

"
35,You Never Give Me Your Money,"September 26, 1969",Abbey Road,"

[Verse 1]
You never give me your money
You only give me your funny paper
And in the middle of negotiations
You break down

[Verse 2]
I never give you my number
I only give you my situation
And in the middle of investigation
I break down

[Verse 3]
Out of college, money spent
See no future, pay no rent
All the money's gone, nowhere to go
Any jobber got the sack
Monday morning, turning back
Yellow lorry slow, nowhere to go
But oh, that magic feeling, nowhere to go
Oh, that magic feeling, nowhere to go
Nowhere to go

[Instrumental break 1:49-2:29]

[Verse 4]
One sweet dream
Pick up the bags, get in the limousine
Soon we'll be away from here
Step on the gas and wipe that tear away
One sweet dream came true today
Came true today
Came true today
Yes, it did

[Outro]
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven

"
